,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,4,PF,1584487686,78,-23.12,-134.97,80.97799999999997,5.32
1,Palmer,75,US,1584487649,75,42.16,-72.33,48.469999999999956,2.1
2,Samarai,38,PG,1584487692,74,-10.62,150.67,82.65199999999999,2.49
3,Conde,30,BR,1584487693,83,-7.26,-34.91,80.86999999999996,3.1
4,Tuktoyaktuk,75,CA,1584487693,84,69.45,-133.04,1.669999999999959,1.5
5,Ushuaia,40,AR,1584487638,41,-54.8,-68.3,57.469999999999956,7.2
6,Santa Cruz del Norte,75,CU,1584487694,61,23.15,-81.92,82.66999999999996,3.6
7,Touros,20,BR,1584487695,83,-5.2,-35.46,80.86999999999996,3.1
8,Koungheul,0,SN,1584487523,33,13.98,-14.8,76.04600000000005,5.35
9,Albany,75,US,1584487695,89,42.6,-73.97,46.66999999999996,4.1
10,Marsh Harbour,7,BS,1584487534,70,26.54,-77.06,72.42799999999997,3.94
11,Bluff,24,NZ,1584487620,74,-46.6,168.33,56.26400000000004,2.24
12,Halifax,90,CA,1584487416,96,44.65,-63.57,34.26799999999999,6.2
13,Bredasdorp,27,ZA,1584487472,77,-34.53,20.04,66.46999999999997,3.1
14,Bonanza,54,NI,1584487697,96,14.03,-84.59,71.52799999999996,1.25
15,Bryan,40,US,1584487697,61,30.67,-96.37,82.66999999999996,4.6
16,Awjilah,0,LY,1584487698,34,29.11,21.29,58.424000000000014,5.11
17,Hengshui,0,CN,1584487698,18,37.73,115.7,60.8,5.58
18,Tepelenë,0,AL,1584487698,60,40.3,20.02,48.272000000000034,0.89
19,Nikolskoye,75,RU,1584487699,80,59.7,30.79,39.469999999999956,4.0
20,Pevek,100,RU,1584487699,95,69.7,170.31,25.285999999999966,5.24
21,Itarema,86,BR,1584487699,88,-2.92,-39.92,76.65800000000002,1.7
22,Bushenyi,99,UG,1584487699,90,-0.59,30.21,64.52599999999998,0.24
23,Dikson,92,RU,1584487700,100,73.51,80.55,-8.320000000000014,2.88
24,Yellowknife,75,CA,1584487647,64,62.46,-114.35,2.2640000000000313,3.1
25,Avarua,100,CK,1584487471,88,-21.21,-159.78,80.86999999999996,8.2
26,Iskateley,100,RU,1584487700,93,67.68,53.15,25.627999999999965,8.66
27,Vila Franca do Campo,20,PT,1584487615,82,37.72,-25.43,55.66999999999996,1.5
28,Lambaréné,100,GA,1584487707,97,-0.7,10.24,75.57799999999997,0.85
29,Punta Arenas,75,CL,1584487447,54,-53.15,-70.92,55.66999999999996,10.8
30,Barrow,1,US,1584487708,85,71.29,-156.79,10.669999999999959,5.7
31,Ponta do Sol,40,PT,1584487600,72,32.67,-17.1,59.26999999999996,8.2
32,San Patricio,40,MX,1584487708,78,19.22,-104.7,82.66999999999996,5.1
33,Anchorage,90,US,1584487437,79,61.22,-149.9,29.26400000000003,2.1
34,Busselton,35,AU,1584487709,94,-33.65,115.33,54.266000000000005,7.81
35,Lorengau,100,PG,1584487709,76,-2.02,147.27,83.51600000000002,3.38
36,Werda,32,BW,1584487710,77,-25.27,23.28,66.29000000000002,7.88
37,Paracambi,90,BR,1584487710,94,-22.61,-43.71,75.46999999999997,6.2
38,Upernavik,30,GL,1584487710,51,72.79,-56.15,-11.794000000000025,2.83
39,Deputatsky,33,RU,1584487711,90,69.3,139.9,-17.48200000000002,2.99
40,Kavieng,100,PG,1584487711,77,-2.57,150.8,83.04800000000003,5.95
41,Tiksi,89,RU,1584487547,88,71.69,128.87,-30.58600000000002,3.53
42,Chokurdakh,100,RU,1584487579,92,70.63,147.92,-6.825999999999986,6.61
43,Puqi,1,CN,1584487712,81,29.72,113.88,54.21199999999996,0.78
44,Alofi,75,NU,1584487712,74,-19.06,-169.92,86.26999999999995,5.1
45,Thompson,5,CA,1584487462,45,55.74,-97.86,5.269999999999957,4.1
46,Loandjili,20,CG,1584487713,94,-4.76,11.86,79.06999999999996,2.1
47,Kapaa,75,US,1584487713,100,22.08,-159.32,73.66999999999996,4.1
48,Bengkulu,69,ID,1584487589,90,-3.8,102.27,74.67799999999997,1.68
49,Mataura,1,NZ,1584487481,74,-46.19,168.86,56.26400000000004,2.24
50,Boyolangu,51,ID,1584487714,86,-8.12,111.89,77.558,0.29
51,Hobart,75,AU,1584487499,49,-42.88,147.33,71.27599999999998,4.6
52,Puerto Ayora,20,EC,1584487715,62,-0.74,-90.35,84.46999999999997,4.1
53,Kearney,90,US,1584487715,93,40.7,-99.08,41.26999999999996,5.7
54,Hermanus,2,ZA,1584487616,92,-34.42,19.23,64.27400000000002,0.51
55,Kangaatsiaq,100,GL,1584487716,69,68.31,-53.46,12.524000000000012,9.49
56,Segezha,100,RU,1584487716,97,63.74,34.32,34.592,7.19
57,Ambatofinandrahana,13,MG,1584487716,94,-20.55,46.8,60.54800000000003,1.24
58,Dawson Creek,1,CA,1584487716,62,55.77,-120.24,25.069999999999958,2.1
59,Pontal do Paraná,90,BR,1584487717,100,-25.65,-48.51,79.26799999999999,4.1
60,Yumen,81,CN,1584487665,29,40.28,97.2,35.24000000000002,4.05
61,Laguna de Duero,29,ES,1584487717,93,41.58,-4.72,52.26799999999999,5.1
62,Bulgan,47,MN,1584487717,82,48.81,103.53,14.414000000000033,1.7
63,Horsham,75,GB,1584487717,93,51.06,-0.33,51.27799999999996,4.6
64,Muli,75,MV,1584487718,78,2.92,73.57,84.66799999999998,8.6
65,Dwārka,0,IN,1584487619,65,22.24,68.97,77.99000000000002,4.16
66,Dickinson,20,US,1584487719,61,29.46,-95.05,81.26600000000002,5.7
67,Arraial do Cabo,82,BR,1584487721,86,-22.97,-42.03,78.87200000000004,2.52
68,Vila Velha,40,BR,1584487721,83,-20.33,-40.29,80.86999999999996,2.1
69,Bathsheba,40,BB,1584487595,69,13.22,-59.52,79.06999999999996,4.6
70,Port Hedland,0,AU,1584487721,83,-20.32,118.57,80.86999999999996,1.5
71,George Town,20,MY,1584487461,88,5.41,100.34,80.27599999999998,2.1
72,Kot Īsa Khān,11,IN,1584487722,71,30.95,75.13,57.667999999999985,1.35
73,‘Ewa Beach,90,US,1584487722,94,21.32,-158.01,75.46999999999997,3.6
74,Yaan,95,NG,1584487709,46,7.38,8.57,86.14399999999998,3.71
75,Nanortalik,17,GL,1584487487,55,60.14,-45.24,20.048000000000023,4.88
76,Carnarvon,100,AU,1584487722,68,-24.87,113.63,71.86999999999996,6.2
77,East London,66,ZA,1584487723,82,-33.02,27.91,69.80000000000001,5.03
78,Port-Gentil,40,GA,1584487723,83,-0.72,8.78,84.46999999999997,4.6
79,Saint Paul Harbor,1,US,1584487475,70,57.79,-152.41,44.86999999999996,4.1
80,Yangi Marg`ilon,72,UZ,1584487585,46,40.43,71.72,53.86999999999996,3.1
81,Ambilobe,65,MG,1584487723,91,-13.2,49.05,75.2,1.17
82,Padang,51,ID,1584487691,87,-0.95,100.35,69.24199999999999,2.28
83,Bethel,40,US,1584487615,66,41.37,-73.41,52.26799999999999,1.5
84,Belmopan,75,BZ,1584487639,46,17.25,-88.77,89.86999999999996,2.1
85,Prieska,12,ZA,1584487724,61,-29.66,22.75,69.368,2.85
86,Jumla,0,NP,1584487725,51,29.27,82.18,30.38000000000004,2.49
87,Yerbogachën,26,RU,1584487725,94,61.28,108.01,-9.363999999999983,1.42
88,Batagay,100,RU,1584487575,95,67.63,134.63,-2.4879999999999924,1.76
89,Airai,0,TL,1584487591,67,-8.93,125.41,73.16600000000001,2.02
90,Eyl,33,SO,1584487726,75,7.98,49.82,80.00600000000003,6.76
91,New Norfolk,75,AU,1584487606,49,-42.78,147.06,71.27599999999998,4.6
92,Tasiilaq,100,GL,1584487727,72,65.61,-37.64,10.669999999999959,4.32
93,Kaitangata,2,NZ,1584487613,72,-46.28,169.85,49.477999999999966,2.28
94,Khatanga,89,RU,1584487728,87,71.97,102.5,-14.386000000000017,3.58
95,Walvis Bay,0,NA,1584487728,95,-22.96,14.51,62.27599999999999,2.91
96,Hamilton,1,US,1584487669,50,39.18,-84.53,52.26799999999999,1.5
97,Banjar,20,ID,1584487729,94,-8.19,114.97,79.06999999999996,2.1
98,Saskylakh,17,RU,1584487729,79,71.92,114.08,-21.424000000000014,4.6
99,Bar Harbor,90,US,1584487729,100,44.39,-68.2,39.272000000000034,2.6
100,Souillac,40,MU,1584487506,88,-20.52,57.52,77.26999999999995,2.39
101,Lebu,0,CL,1584487730,83,-37.62,-73.65,57.57799999999996,3.66
102,Rawson,0,AR,1584487499,65,-43.3,-65.1,60.70999999999998,3.78
103,Kudahuvadhoo,71,MV,1584487731,78,2.67,72.89,84.84800000000003,7.18
104,Norman Wells,90,CA,1584487647,85,65.28,-126.83,23.26999999999996,1.5
105,Coahuayana Viejo,40,MX,1584487731,54,18.73,-103.68,80.86999999999996,7.7
106,Harper,84,LR,1584487732,95,4.38,-7.72,77.558,1.51
107,Vaini,75,TO,1584487732,94,-21.2,-175.2,77.26999999999995,1.5
108,Gander,90,CA,1584487733,68,48.97,-54.59,25.069999999999958,9.3
109,Hilo,90,US,1584487466,74,19.73,-155.09,79.06999999999996,7.2
110,Port Lincoln,83,AU,1584487733,27,-34.73,135.87,82.076,3.54
111,Cidreira,96,BR,1584487735,79,-30.18,-50.21,73.85,9.99
112,Ust-Nera,47,RU,1584487735,94,64.57,143.2,-13.233999999999995,1.44
113,Trincomalee,100,LK,1584487735,96,8.57,81.23,74.28200000000001,1.36
114,Cape Town,8,ZA,1584487045,88,-33.93,18.42,67.26199999999996,4.6
115,Buin,0,CL,1584487736,40,-33.73,-70.75,75.46999999999997,3.1
116,Ketchikan,1,US,1584487737,65,55.34,-131.65,46.66999999999996,7.7
117,Beloha,47,MG,1584487737,95,-25.17,45.05,66.74000000000002,2.59
118,Huilong,0,CN,1584487738,65,31.81,121.66,60.27799999999996,3.67
119,Novorzhev,99,RU,1584487738,84,57.03,29.33,35.492,4.99
120,Dunedin,0,NZ,1584487539,54,-45.87,170.5,59.26999999999996,4.02
121,Sitka,40,US,1584487739,72,57.05,-135.33,44.86999999999996,6.2
122,Ko Samui,20,TH,1584487739,74,9.54,99.94,82.66999999999996,4.5
123,Aykhal,0,RU,1584487740,82,66.0,111.5,-18.12999999999999,2.0
124,Mount Gambier,75,AU,1584487740,35,-37.83,140.77,73.66999999999996,6.2
125,Udachny,0,RU,1584487740,82,66.42,112.4,-18.12999999999999,2.0
126,Provideniya,75,RU,1584487646,92,64.38,-173.3,30.46999999999996,10.0
127,Usakos,75,NA,1584487741,70,-22.0,15.6,72.24800000000002,4.0
128,Qaanaaq,98,GL,1584487742,59,77.48,-69.36,-19.587999999999994,2.71
129,Tombouctou,97,ML,1584487742,10,20.0,-3.0,78.00800000000001,3.73
130,Beni Mazar,0,EG,1584487742,62,28.5,30.8,52.17799999999997,5.43
131,Iquique,17,CL,1584487742,64,-20.22,-70.14,73.66999999999996,7.7
132,Biryukove,0,UA,1584487742,63,47.96,39.74,28.66999999999996,1.0
133,Comodoro Rivadavia,20,AR,1584487743,72,-45.87,-67.5,62.86999999999996,7.2
134,Byron Bay,36,AU,1584487318,56,-28.65,153.62,73.66999999999996,6.2
135,Qaqortoq,32,GL,1584487536,46,60.72,-46.03,10.669999999999959,3.1
136,Banes,20,CU,1584487743,54,20.96,-75.72,79.06999999999996,6.7
137,Fortuna,90,US,1584487744,87,40.6,-124.16,49.26199999999996,5.1
138,Hella,75,NO,1584487744,95,67.2,14.43,37.66999999999996,9.8
139,Kahului,40,US,1584487653,65,20.89,-156.47,82.66999999999996,4.1
140,Hualmay,100,PE,1584487613,70,-11.1,-77.61,73.52599999999998,2.74
141,Ulladulla,0,AU,1584487745,64,-35.35,150.47,68.26999999999995,3.6
142,Abu Kamal,100,SY,1584487745,82,34.45,40.92,60.78200000000002,3.38
143,Adrar,83,MR,1584487745,27,20.5,-10.07,67.85600000000002,4.99
144,Tura,0,IN,1584487608,44,25.52,90.22,65.066,1.19
145,Saint-Maximin-la-Sainte-Baume,0,FR,1584487746,87,43.45,5.86,53.27599999999999,1.0
146,Portland,1,US,1584487501,29,45.52,-122.68,62.27599999999999,4.1
147,Great Falls,1,US,1584487747,64,47.5,-111.3,37.274000000000015,5.1
148,Port Elizabeth,0,ZA,1584487747,64,-33.92,25.57,70.06999999999996,3.6
149,San Quintín,45,MX,1584487748,55,30.48,-115.95,60.49399999999997,3.33
150,Qasigiannguit,96,GL,1584487749,59,68.82,-51.19,3.46999999999996,9.8
151,Butaritari,0,KI,1584487749,75,3.07,172.79,83.62400000000002,5.67
152,Alpena,1,US,1584487749,37,45.06,-83.43,37.66999999999996,4.1
153,Ereymentau,71,KZ,1584487749,94,51.62,73.1,20.138000000000044,7.24
154,Hambantota,100,LK,1584487750,80,6.12,81.12,79.01600000000002,4.67
155,Port Alfred,24,ZA,1584487752,95,-33.59,26.89,68.26999999999995,3.57
156,Kalāleh,100,IR,1584487753,93,37.38,55.49,50.26999999999996,2.1
157,Hukuntsi,45,BW,1584487753,54,-24.0,21.75,71.65399999999995,4.92
158,Narsaq,14,GL,1584487512,46,60.92,-46.05,10.669999999999959,3.1
159,Herndon,75,US,1584487675,55,38.97,-77.39,64.66999999999996,3.1
160,Naze,98,JP,1584487753,63,28.37,129.48,64.66999999999996,2.1
161,Medfield,1,US,1584487755,81,42.19,-71.31,46.66999999999996,2.58
162,Athabasca,100,CA,1584487756,86,54.72,-113.29,22.19000000000002,1.65
163,Adeje,40,ES,1584487697,67,28.12,-16.73,64.27400000000002,2.6
164,Xudat,85,AZ,1584487756,84,41.63,48.68,29.60600000000003,1.29
165,Tateyama,20,JP,1584487756,50,34.98,139.87,55.66999999999996,3.1
166,Tromsø,75,NO,1584487473,94,69.65,18.96,37.66999999999996,6.7
167,Shimoda,40,JP,1584487577,53,34.67,138.95,58.26199999999996,4.6
168,Hithadhoo,65,MV,1584487616,76,-0.6,73.08,84.74000000000002,5.69
169,Sirte,100,LY,1584487758,75,31.21,16.59,57.41600000000001,3.43
170,Bilma,0,NE,1584487758,9,18.69,12.92,73.66999999999996,4.25
171,Puerto Madryn,0,AR,1584487542,63,-42.77,-65.04,57.21799999999999,2.96
172,Hong Kong,20,HK,1584487699,73,22.29,114.16,72.26600000000002,4.1
173,Aller,40,ES,1584487759,87,43.12,-5.58,52.069999999999965,3.1
174,Srandakan,92,ID,1584487759,86,-7.94,110.25,77.54000000000002,1.94
175,Aklavik,75,CA,1584487759,67,68.22,-135.01,23.26999999999996,1.0
176,Maragogi,17,BR,1584487759,75,-9.01,-35.22,83.71400000000003,5.65
177,Doha,1,QA,1584487697,77,25.29,51.53,75.27200000000005,3.1
178,Sami,0,GM,1584487760,30,13.58,-15.2,77.35999999999999,4.84
179,Atuona,1,PF,1584487760,73,-9.8,-139.03,83.20999999999998,4.49
180,Nome,90,US,1584487761,92,64.5,-165.41,30.46999999999996,5.7
181,Ruangwa,100,TZ,1584487761,95,-10.07,38.93,69.69200000000001,1.01
182,Lander,1,US,1584487761,49,42.83,-108.73,51.27799999999996,1.5
183,Bay Roberts,75,CA,1584487763,73,47.6,-53.26,28.27400000000001,8.7
184,Alta Floresta,100,BR,1584487628,93,-9.88,-56.09,74.78599999999997,0.62
185,Iqaluit,90,CA,1584487763,78,63.75,-68.51,16.069999999999958,7.2
186,Mehamn,75,NO,1584487591,79,71.04,27.85,28.66999999999996,1.0
187,Tuatapere,18,NZ,1584487764,74,-46.13,167.68,56.26400000000004,2.24
188,Teguise,40,ES,1584487703,59,29.06,-13.56,61.069999999999965,5.7
189,Salalah,75,OM,1584487721,73,17.02,54.09,77.26999999999995,2.6
190,North Bend,90,US,1584487777,87,43.41,-124.22,53.27599999999999,5.1
191,Saint-Pierre,90,RE,1584487778,88,-21.34,55.48,75.46999999999997,3.1
192,Grindavik,90,IS,1584487508,86,63.84,-22.43,32.26999999999996,9.8
193,Wattegama,100,LK,1584487778,91,6.8,81.48,73.47200000000004,0.6
194,Mar del Plata,100,AR,1584487693,88,-38.0,-57.56,68.26999999999995,1.5
195,Douglas,90,US,1584487664,75,41.3,-96.17,47.26400000000003,4.1
196,Codrington,100,AU,1584487779,57,-38.27,141.97,67.892,6.31
197,Luanda,20,AO,1584487592,83,-8.84,13.23,80.86999999999996,2.32
198,Pierre,90,US,1584487781,67,44.37,-100.35,41.26999999999996,8.2
199,Umluj,0,SA,1584487782,60,25.02,37.27,66.16400000000004,5.05
200,Novoagansk,100,RU,1584487782,95,61.94,76.66,20.48000000000004,4.15
201,Kavaratti,29,IN,1584487783,68,10.57,72.64,82.88599999999997,2.53
202,Fort Nelson,75,CA,1584487702,80,58.81,-122.7,32.26999999999996,4.1
203,Biak,45,ID,1584487784,72,-0.91,122.88,80.86999999999996,1.72
204,Hervey Bay,27,AU,1584487517,57,-25.3,152.85,79.26799999999999,7.2
205,Omboué,97,GA,1584487785,94,-1.57,9.26,75.75800000000001,0.8
206,Pisco,90,PE,1584487786,30,-13.7,-76.22,71.86999999999996,8.2
207,Longyearbyen,20,SJ,1584487786,75,78.22,15.64,-18.12999999999999,3.1
208,Cherskiy,100,RU,1584487786,93,68.75,161.3,3.217999999999982,6.16
209,Darnah,0,LY,1584487786,61,32.77,22.64,57.811999999999955,8.79
210,Altay,32,CN,1584487787,38,47.87,88.12,28.417999999999985,2.44
211,Ballina,26,AU,1584487787,78,-28.87,153.57,71.86999999999996,4.1
212,Southbridge,90,US,1584487650,81,42.08,-72.03,48.469999999999956,3.6
213,Ojinaga,75,MX,1584487544,33,29.57,-104.42,77.26999999999995,2.6
214,Ribeira Grande,12,PT,1584487857,88,38.52,-28.7,58.87400000000001,4.5
215,Port Hardy,20,CA,1584487859,65,50.7,-127.42,46.66999999999996,2.6
216,Valdivia,14,CL,1584487765,60,-39.81,-73.25,68.26999999999995,2.6
217,Torbay,75,CA,1584487564,73,47.67,-52.73,28.27400000000001,8.7
218,Jamestown,20,US,1584487727,79,42.1,-79.24,41.26999999999996,6.2
219,Swan Hill,0,AU,1584487861,40,-35.34,143.55,79.26799999999999,2.24
220,Uglovskoye,77,RU,1584487862,87,51.36,80.19,26.941999999999997,3.78
221,Pizarro,42,CO,1584487864,82,4.95,-77.37,79.84399999999997,3.46
222,Bambous Virieux,40,MU,1584487865,88,-20.34,57.76,77.26999999999995,4.54
223,Svetlaya,66,RU,1584487866,62,46.54,138.33,30.74000000000002,1.2
224,Guymon,90,US,1584487626,93,36.68,-101.48,50.26999999999996,6.7
225,Mata Grande,62,BR,1584487867,76,-9.12,-37.73,77.86400000000003,2.29
226,Kununurra,0,AU,1584487716,74,-15.77,128.73,84.46999999999997,1.5
227,Aksu,25,CN,1584487870,30,41.12,80.26,43.34000000000002,2.32
228,Mackenzie,75,CA,1584487872,40,55.3,-123.17,35.86999999999996,3.1
229,Dodge City,90,US,1584487581,93,37.75,-100.02,44.86999999999996,4.6
230,Sydney,20,AU,1584487800,60,-33.87,151.21,74.26400000000004,3.1
231,Belaya Gora,96,RU,1584487872,90,68.53,146.42,-3.8559999999999803,4.27
232,Kasama,98,ZM,1584487873,96,-10.21,31.18,62.86999999999996,1.12
233,Muros,0,ES,1584487772,87,42.78,-9.06,61.26799999999999,3.6
234,Zaysan,68,KZ,1584487875,58,47.47,84.87,30.038000000000046,0.71
235,Faanui,100,PF,1584487876,70,-16.48,-151.75,83.69600000000005,3.07
236,Berlevåg,75,NO,1584487622,79,70.86,29.09,26.86999999999996,1.0
237,Waipawa,62,NZ,1584487878,67,-41.41,175.52,62.27599999999999,4.1
238,Abashiri,35,JP,1584487879,63,44.02,144.27,30.46999999999996,3.1
239,Murud,24,IN,1584487880,43,18.33,72.97,76.67599999999999,1.7
240,Honiara,20,SB,1584487881,74,-9.43,159.95,88.06999999999996,3.1
241,San Rafael,0,AR,1584487881,28,-34.62,-68.33,68.75600000000003,4.29
242,Chara,100,RU,1584487882,79,56.91,118.26,21.416000000000007,1.17
243,Zhigansk,0,RU,1584487883,91,66.77,123.37,-28.246000000000002,5.04
244,Castro,0,BR,1584487619,97,-24.79,-50.01,65.67799999999997,2.64
245,Nelson Bay,20,AU,1584487760,77,-32.72,152.15,72.26600000000002,2.6
246,Maxixe,25,MZ,1584487885,77,-23.86,35.35,74.30000000000001,6.33
247,Bosilegrad,8,RS,1584487885,77,42.5,22.47,34.46600000000001,2.28
248,Innerleithen,40,GB,1584487887,93,55.62,-3.06,43.26799999999999,3.1
249,Taksimo,62,RU,1584487887,83,56.34,114.88,15.619999999999958,2.43
250,Fethiye,0,TR,1584487888,34,36.62,29.12,50.26999999999996,9.8
251,Saint George,20,US,1584487607,47,37.1,-113.58,61.069999999999965,6.7
252,Springbok,0,ZA,1584487890,60,-29.66,17.89,52.82599999999999,1.08
253,Ancud,13,CL,1584487891,76,-41.87,-73.82,55.66999999999996,3.1
254,Esim,100,GH,1584487892,85,4.87,-2.24,80.47400000000002,2.69
255,Fowa,100,NG,1584487893,41,8.92,6.4,86.75600000000003,0.87
256,Sola,100,VU,1584487775,72,-13.88,167.55,84.50600000000003,3.67
257,Lavrentiya,100,RU,1584487885,92,65.58,-171.0,31.064000000000032,5.25
258,Diu,13,IN,1584487895,62,20.71,70.98,77.30600000000004,8.27
259,Suda,100,RU,1584487779,84,59.15,37.56,34.12400000000001,4.88
260,Saint-Philippe,90,RE,1584487898,88,-21.36,55.77,75.46999999999997,3.1
261,Broome,75,US,1584487899,60,42.25,-75.83,44.27599999999999,6.2
262,Vawkavysk,100,BY,1584487900,82,53.16,24.45,39.685999999999964,3.13
263,Srednekolymsk,82,RU,1584487900,91,67.45,153.68,-6.717999999999982,4.31
264,Otjimbingwe,53,NA,1584487906,69,-22.35,16.13,71.78000000000004,1.45
265,Peace River,90,CA,1584487908,62,56.25,-117.29,21.469999999999956,2.6
266,Āsosa,72,ET,1584487909,18,10.07,34.53,71.49199999999999,2.6
267,Saldanha,0,ZA,1584487909,82,-33.01,17.94,62.86999999999996,3.1
268,Acapulco de Juárez,5,MX,1584487647,79,16.86,-99.89,84.46999999999997,6.2
269,Huarmey,61,PE,1584487912,65,-10.07,-78.15,74.76799999999999,2.12
270,Il’inskiy,26,RU,1584487913,59,55.62,38.12,37.66999999999996,3.0
271,Esperance,65,AU,1584487913,87,-33.87,121.9,57.469999999999956,4.6
272,Malanje,60,AO,1584487914,98,-9.54,16.34,63.733999999999995,1.3
273,Ca Mau,88,VN,1584487914,74,9.18,105.15,80.15,2.47
274,Bubaque,30,GW,1584487915,72,11.28,-15.83,79.57400000000001,9.43
275,Beringovskiy,21,RU,1584487916,84,63.05,179.32,33.16999999999996,6.0
276,Stykkisholmur,100,IS,1584487918,82,65.08,-22.73,26.761999999999954,13.43
277,Qusar,85,AZ,1584487919,84,41.43,48.43,29.60600000000003,1.29
